序号,股票代码,股票名称
1,SH600009,上海机场
2,SH600011,华能国际
3,SH600016,民生银行
4,SH600018,上港集团
5,SH600019,宝钢股份
6,SH600026,中远海能
7,SH600028,中国石化
8,SH600030,中信证券
9,SH600036,招商银行
10,SH600037,歌华有线
11,SH600048,保利地产
12,SH600050,中国联通
13,SH600100,同方股份
14,SH600104,上汽集团
15,SH601985,中国核电
16,SH601989,中国重工
17,SZ000001,平安银行
18,SZ000002,万  科Ａ
19,SZ000009,中国宝安
20,SZ000012,南  玻Ａ
21,SZ000021,深科技
22,SZ000022,深赤湾Ａ
23,SZ000027,深圳能源
24,SZ000031,中粮地产
25,SZ000036,华联控股
26,SZ000039,中集集团
27,SZ000061,农 产 品
28,SZ000063,中兴通讯
29,SZ000066,中国长城
30,SZ000401,冀东水泥
31,SZ002001,新 和 成
32,SZ002004,华邦健康
33,SZ002005,德豪润达
34,SZ002006,精功科技
35,SZ002007,华兰生物
36,SZ002008,大族激光
37,SZ002011,盾安环境
38,SZ002013,中航机电
39,SZ002022,科华生物
40,SZ002023,海特高新
41,SZ300046,台基股份
42,SZ300047,天源迪科
43,SZ300048,合康新能
44,SZ300049,福瑞股份
45,SZ300050,世纪鼎利
46,SZ300051,三五互联
47,SZ300052,中青宝
48,SZ300053,欧比特
49,SZ300054,鼎龙股份
50,SZ300055,万邦达
